Energy (E),Reflectivity (R),Transmissivity (T)
-4.080133555926544,2.428841398045723,-1.4288413980457229
-4.061769616026711,2.4046292949948866,-1.4046292949948866
-4.043405676126879,2.380666190728817,-1.380666190728817
-4.025041736227045,2.356947965002115,-1.356947965002115
-4.006677796327212,2.3334705241808327,-1.3334705241808327
-3.988313856427379,2.3102297980396442,-1.3102297980396442
-3.969949916527546,2.287221732491902,-1.287221732491902
-3.951585976627713,2.2644422620514324,-1.2644422620514324
-3.93322203672788,2.2418872057809693,-1.2418872057809693
-3.9148580968280466,2.219553770387129,-1.219553770387129
-3.8964941569282137,2.1974416665330656,-1.1974416665330656
-3.8781302170283807,2.1755305944063448,-1.1755305944063448
-3.8597662771285477,2.1538347827770763,-1.1538347827770763
-3.8414023372287147,2.132343464121743,-1.132343464121743
-3.8230383973288817,2.111052833299949,-1.111052833299949
-3.8046744574290483,2.089958992794548,-1.089958992794548
-3.7863105175292153,2.0690579729880305,-1.0690579729880305
-3.7679465776293823,2.0483457794236286,-1.0483457794236286
-3.7495826377295494,2.0278183974472177,-1.0278183974472177
-3.7312186978297164,2.007471788645994,-1.007471788645994
-3.7128547579298834,1.9873018853934907,-0.9873018853934907
-3.69449081803005,1.9673045844642378,-0.9673045844642378
-3.676126878130217,1.947475739192106,-0.947475739192106
-3.657762938230384,1.9278111465304864,-0.9278111465304864
-3.639398998330551,1.908306506192393,-0.908306506192393
-3.621035058430718,1.8889571871406488,-0.8889571871406488
-3.602671118530885,1.8697588818711264,-0.8697588818711264
-3.5843071786310516,1.8507165848304097,-0.8507165848304097
-3.5659432387312187,1.831799802379752,-0.8317998023797519
-3.5475792988313857,1.8130295959057827,-0.8130295959057827
-3.5292153589315527,1.7943913758028678,-0.7943913758028678
-3.5108514190317197,1.7758808023855286,-0.7758808023855286
-3.4924874791318867,1.757492838962298,-0.7574928389622979
-3.4741235392320533,1.7392221874817722,-0.7392221874817722
-3.4557595993322203,1.7210633317438484,-0.7210633317438484
-3.4373956594323873,1.703010519967849,-0.7030105199678489
-3.4190317195325544,1.6850577355947294,-0.6850577355947294
-3.4006677796327214,1.6671986623063402,-0.6671986623063402
-3.3823038397328884,1.6494266433980311,-0.6494266433980311
-3.3639398998330554,1.631734634094642,-0.6317346340946419
-3.345575959933222,1.6141151422513809,-0.6141151422513809
-3.327212020033389,1.596560131762857,-0.596560131762857
-3.308848080133556,1.579060631943835,-0.579060631943835
-3.290484140233723,1.56160357432209,-0.56160357432209
-3.27212020033389,1.5441976767364576,-0.5441976767364576
-3.253756260434057,1.5268025323747447,-0.5268025323747447
-3.2353923205342237,1.5094278652026814,-0.5094278652026814
-3.2170283806343907,1.4920528659313854,-0.4920528659313854
-3.1986644407345577,1.4746638697195174,-0.47466386971951735
-3.1803005008347247,1.4572446150626839,-0.4572446150626839
-3.1619365609348917,1.4397766973654924,-0.4397766973654924
-3.1435726210350587,1.422239201364356,-0.4222392013643561
-3.1252086811352253,1.4046081443630165,-0.4046081443630165
-3.1068447412353923,1.3868557633226886,-0.38685576332268856
-3.0884808013355594,1.368949556651669,-0.36894955665166895
-3.0701168614357264,1.3508509897553216,-0.3508509897553216
-3.0517529215358934,1.3325138092309683,-0.3325138092309683
-3.0333889816360604,1.3138814479475724,-0.31388144794757245
-3.015025041736227,1.2948835757371058,-0.2948835757371058
-2.996661101836394,1.275430521417641,-0.2754305214176409
-2.9782971619365615,1.2553951761803144,-0.2553951761803144
-2.959933222036728,1.2345895840492658,-0.23458958404926578
-2.9415692821368946,1.2129461443151828,-0.21294614431518277
-2.923205342237062,1.1899554035346247,-0.1899554035346247
-2.9048414023372287,1.1650732844703844,-0.16507328447038438
-2.886477462437396,1.1381163160536039,-0.13811631605360386
-2.8681135225375627,1.106173271757427,-0.10617327175742708
-2.8497495826377293,1.0000218179853357,-2.1817985335736978e-05
-2.8313856427378967,1.0,0.0
-2.8130217028380633,1.0,0.0
-2.7946577629382308,1.0,0.0
-2.7762938230383973,1.0,0.0
-2.757929883138565,1.0,0.0
-2.7395659432387314,1.0,0.0
-2.721202003338898,1.0,0.0
-2.7028380634390654,1.0,0.0
-2.684474123539232,1.0,0.0
-2.6661101836393994,1.0,0.0
-2.647746243739566,1.0,0.0
-2.6293823038397326,1.0,0.0
-2.6110183639399,1.0,0.0
-2.5926544240400666,1.0,0.0
-2.574290484140234,1.0,0.0
-2.5559265442404007,1.0,0.0
-2.537562604340568,1.0,0.0
-2.5191986644407347,1.0,0.0
-2.5008347245409013,1.0,0.0
-2.4824707846410687,1.0,0.0
-2.4641068447412353,1.0,0.0
-2.4457429048414028,1.0,0.0
-2.4273789649415694,1.0,0.0
-2.409015025041736,1.0,0.0
-2.3906510851419034,1.0,0.0
-2.37228714524207,1.0,0.0
