Energy (E),Reflectivity (R),Transmittance (T),Energy_tilde (Etilde)
-5.005008347245409,1.615183389991898,-0.6151833899918979,8.586400795049816
-4.986644407345576,1.6135936127048236,-0.6135936127048236,8.604764734949649
-4.9682804674457435,1.611980169665686,-0.6119801696656859,8.623128674849482
-4.94991652754591,1.6103440130104214,-0.6103440130104214,8.641492614749314
-4.931552587646077,1.6086850132656274,-0.6086850132656274,8.65985655464915
-4.913188647746244,1.6070028812635324,-0.6070028812635324,8.678220494548981
-4.894824707846411,1.6052973048624617,-0.6052973048624617,8.696584434448814
-4.876460767946578,1.6035679632926472,-0.6035679632926472,8.714948374348648
-4.858096828046745,1.6018145290649,-0.6018145290649,8.73331231424848
-4.839732888146911,1.600036668133031,-0.6000366681330309,8.751676254148315
-4.821368948247079,1.5982340397367307,-0.5982340397367307,8.770040194048146
-4.803005008347245,1.596406296050796,-0.5964062960507961,8.78840413394798
-4.784641068447413,1.5945530810540574,-0.5945530810540574,8.806768073847813
-4.766277128547579,1.5926740246682596,-0.5926740246682596,8.825132013747645
-4.747913188647747,1.5907686990467855,-0.5907686990467855,8.843495953647478
-4.729549248747913,1.5888361335544348,-0.5888361335544348,8.861859893547312
-4.71118530884808,1.586882327079849,-0.5868823270798491,8.880223833447145
-4.692821368948247,1.5848896265569392,-0.5848896265569392,8.898587773346978
-4.674457429048414,1.582877868326404,-0.582877868326404,8.91695171324681
-4.6560934891485815,1.5808360258012666,-0.5808360258012666,8.935315653146644
-4.637729549248748,1.578765392009692,-0.578765392009692,8.953679593046477
-4.619365609348915,1.5766657281526808,-0.5766657281526808,8.97204353294631
-4.601001669449082,1.5745366202551876,-0.5745366202551876,8.990407472846144
-4.582637729549249,1.5723776273300192,-0.5723776273300192,9.008771412745975
-4.564273789649416,1.5701882963864102,-0.5701882963864102,9.027135352645809
-4.545909849749583,1.5679681643088899,-0.5679681643088899,9.045499292545642
-4.52754590984975,1.56571675791109,-0.56571675791109,9.063863232445474
-4.509181969949917,1.5634335936509005,-0.5634335936509005,9.08222717234531
-4.490818030050083,1.5611181771058733,-0.5611181771058733,9.10059111224514
-4.472454090150251,1.5587700014329569,-0.5587700014329569,9.118955052144974
-4.454090150250417,1.5563885394644517,-0.5563885394644517,9.137318992044808
-4.435726210350585,1.5539731815382807,-0.5539731815382807,9.15568293194464
-4.417362270450751,1.5515224649253714,-0.5515224649253714,9.174046871844475
-4.398998330550918,1.5490519905255073,-0.5490519905255073,9.192410811744306
-4.380634390651085,1.5465167983122734,-0.5465167983122734,9.21077475164414
-4.362270450751252,1.5439630894875263,-0.5439630894875263,9.229138691543973
-4.343906510851419,1.5413706672295393,-0.5413706672295393,9.247502631443805
-4.325542570951586,1.5387408397155264,-0.5387408397155264,9.26586657134364
-4.3071786310517535,1.5360731453620466,-0.5360731453620466,9.284230511243472
-4.28881469115192,1.5333669688149805,-0.5333669688149805,9.302594451143305
-4.270450751252087,1.5306216646507962,-0.5306216646507962,9.320958391043138
-4.252086811352254,1.5278365697436807,-0.5278365697436807,9.33932233094297
-4.233722871452421,1.5250110045595553,-0.5250110045595553,9.357686270842805
-4.215358931552588,1.5221442728880876,-0.5221442728880876,9.376050210742637
-4.196994991652755,1.5192356612433533,-0.5192356612433533,9.39441415064247
-4.178631051752921,1.5162844379411697,-0.5162844379411697,9.412778090542304
-4.160267111853089,1.5132898506078671,-0.5132898506078671,9.431142030442135
-4.141903171953255,1.5102511133999341,-0.5102511133999341,9.44950597034197
-4.123539232053423,1.5071672948279582,-0.5071672948279582,9.467869910241802
-4.105175292153589,1.5040356502429677,-0.5040356502429677,9.486233850141636
-4.086811352253757,1.5008903005953835,-0.5008903005953835,9.504597790041469
-4.068447412353923,1.4976371773003252,-0.4976371773003252,9.5229617299413
-4.05008347245409,1.4943671439052915,-0.49436714390529146,9.541325669841136
-4.031719532554257,1.4910464568832345,-0.49104645688323445,9.559689609740968
-4.013355592654424,1.4876755521380876,-0.48767555213808755,9.578053549640801
-3.9949916527545914,1.4842535807558095,-0.4842535807558095,9.596417489540634
-3.976627712854758,1.4807795788494638,-0.48077957884946376,9.614781429440466
-3.9582637729549255,1.4772525446029559,-0.47725254460295585,9.6331453693403
-3.939899833055092,1.4736714456695208,-0.4736714456695208,9.651509309240133
-3.9215358931552586,1.470035218947645,-0.4700352189476451,9.669873249139966
-3.903171953255426,1.466342769576748,-0.4663427695767479,9.6882371890398
-3.8848080133555927,1.4625929692643138,-0.4625929692643138,9.706601128939631
-3.86644407345576,1.458784654045898,-0.45878465404589797,9.724965068839465
-3.8480801335559267,1.4549166194483276,-0.4549166194483276,9.743329008739298
-3.8297161936560933,1.4509875943205344,-0.45098759432053437,9.761692948639132
-3.8113522537562607,1.4469959657429805,-0.4469959657429805,9.780056888538965
-3.7929883138564273,1.442934710956271,-0.4429347109562709,9.798420828438797
-3.774624373956595,1.438815139937334,-0.4388151399373339,9.81678476833863
-3.7562604340567614,1.434635209402744,-0.4346352094027439,9.835148708238464
-3.737896494156929,1.4303820943210939,-0.43038209432109387,9.853512648138295
-3.7195325542570954,1.4260590180408195,-0.42605901804081947,9.87187658803813
-3.701168614357262,1.4216650047376576,-0.42166500473765756,9.890240527937962
-3.6828046744574294,1.4171984692627257,-0.41719846926272575,9.908604467837796
